Date;#;Team;;M.;W;D;L;goals;Dif.;Pt.
2019;1;;Flamengo RJ;38;28;6;4;86:37:00;49;90
2018;2;;Flamengo RJ;38;21;9;8;59:29:00;30;72
2017;6;;Flamengo RJ;38;15;11;12;49:38:00;11;56
2016;3;;Flamengo RJ;38;20;11;7;52:35:00;17;71
2015;12;;Flamengo RJ;38;15;4;19;45:53:00;-8;49
2014;10;;Flamengo RJ;38;14;10;14;46:47:00;-1;52
2013;16;;Flamengo RJ;38;12;13;13;43:46:00;-3;45
2012;11;;Flamengo RJ;38;12;14;12;39:46:00;-7;50
2011;4;;Flamengo RJ;38;15;16;7;59:47:00;12;61
2010;14;;Flamengo RJ;38;9;17;12;41:44:00;-3;44
2009;1;;Flamengo RJ;38;19;10;9;58:44:00;14;67
